category	slug_en	url_en	url_zh
biology	acres-per-hour-calculator	https://tooldone.com/biology/acres-per-hour-calculator/	https://tooldone.com/zh/shengwuxue/mu-mei-xiaoshi-jisuanqi/
biology	allele-frequency-calculator	https://tooldone.com/biology/allele-frequency-calculator/	https://tooldone.com/zh/shengwuxue/dengweijiyin-pinlv-jisuanqi/
biology	animal-mortality-rate-calculator	https://tooldone.com/biology/animal-mortality-rate-calculator/	https://tooldone.com/zh/shengwuxue/dongwu-siwanglv-jisuanqi/
biology	annealing-temperature-calculator	https://tooldone.com/biology/annealing-temperature-calculator/	https://tooldone.com/zh/shengwuxue/annealing-wendu-jisuanqi/
biology	basal-area-calculator	https://tooldone.com/biology/basal-area-calculator/	https://tooldone.com/zh/shengwuxue/shumu-duanmianji-jisuanqi/
biology	benadryl-dosage-calculator-for-dogs	https://tooldone.com/biology/benadryl-dosage-calculator-for-dogs/	https://tooldone.com/zh/shengwuxue/gou-benadryl-dosage-jisuanqi/
biology	bird-age-calculator	https://tooldone.com/biology/bird-age-calculator/	https://tooldone.com/zh/shengwuxue/niao-lei-nian-ling-jisuanqi/
biology	bulb-spacing-calculator	https://tooldone.com/biology/bulb-spacing-calculator/	https://tooldone.com/zh/shengwuxue/huaqian-juli-jisuanqi/
biology	cat-age-calculator	https://tooldone.com/biology/cat-age-calculator/	https://tooldone.com/zh/shengwuxue/mao-nianling-jisuanqi/
biology	cat-benadryl-dosage-calculator	https://tooldone.com/biology/cat-benadryl-dosage-calculator/	https://tooldone.com/zh/shengwuxue/mao-benadryl-jiliang-jisuanqi/
biology	cat-bmi-calculator	https://tooldone.com/biology/cat-bmi-calculator/	https://tooldone.com/zh/shengwuxue/mao-bmi-jisuanqi/
biology	cat-calorie-calculator	https://tooldone.com/biology/cat-calorie-calculator/	https://tooldone.com/zh/shengwuxue/mao-kaluli-jisuanqi/
biology	cat-chocolate-toxicity-calculator	https://tooldone.com/biology/cat-chocolate-toxicity-calculator/	https://tooldone.com/zh/shengwuxue/mao-chocolate-duxing-jisuanqi/
biology	cat-pregnancy-calculator	https://tooldone.com/biology/cat-pregnancy-calculator/	https://tooldone.com/zh/shengwuxue/mao-huaiyun-jisuanqi/
biology	cat-quality-of-life-calculator	https://tooldone.com/biology/cat-quality-of-life-calculator/	https://tooldone.com/zh/shengwuxue/mao-shengming-zhiliang-jisuanqi/
biology	catculator	https://tooldone.com/biology/catculator/	https://tooldone.com/zh/shengwuxue/mao-nianling-jiankang-jisuanqi/
biology	cattle-per-acre-calculator	https://tooldone.com/biology/cattle-per-acre-calculator/	https://tooldone.com/zh/shengwuxue/niunai-mei-mu-jisuanqi/
biology	cell-dilution-calculator	https://tooldone.com/biology/cell-dilution-calculator/	https://tooldone.com/zh/shengwuxue/xibao-xieru-jisuanqi/
biology	cell-doubling-time-calculator	https://tooldone.com/biology/cell-doubling-time-calculator/	https://tooldone.com/zh/shengwuxue/xibao-beizeng-shijian-jisuanqi/
biology	cephalexin-for-cats-dosage-calculator	https://tooldone.com/biology/cephalexin-for-cats-dosage-calculator/	https://tooldone.com/zh/shengwuxue/mao-toupaoxilin-jiliang-jisuanqi/
biology	cephalexin-for-dogs-dosage-calculator	https://tooldone.com/biology/cephalexin-for-dogs-dosage-calculator/	https://tooldone.com/zh/shengwuxue/gou-cephalexin-dosage-jisuanqi/
biology	co2-grow-room-calculator	https://tooldone.com/biology/co2-grow-room-calculator/	https://tooldone.com/zh/shengwuxue/co2-shengzhangfang-jisuanqi/
biology	corn-yield-calculator	https://tooldone.com/biology/corn-yield-calculator/	https://tooldone.com/zh/shengwuxue/yumi-shouhuo-jisuanqi/
